_id,Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
815,Suppressed1,South End,02118,17,17,0,0,0,0,17,17,0,Rental,Private,,
816,Suppressed10,Dorchester,02124,11,11,0,0,0,0,11,11,0,Rental,Private,,
817,Suppressed11,Fenway,02115,75,75,0,0,0,0,75,75,0,Rental,Private,Y,
818,Suppressed12,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,
819,Suppressed13,Fenway,02215,16,16,0,0,0,0,16,16,0,Rental,Private,,
820,Suppressed14,Jamaica Plain,02119,12,12,0,0,0,0,12,12,0,Rental,Private,,
821,Suppressed15,Brighton,02135,18,18,0,0,0,0,18,18,0,Rental,Private,,
822,Suppressed16,South End,02118,15,15,0,0,0,0,15,15,0,Rental,Private,,
823,Suppressed17,East Boston,02128,18,18,0,0,0,0,18,18,0,Rental,Private,,
824,Suppressed18,Dorchester,02122,4,4,0,0,0,0,4,4,0,Rental,Private,,
825,Suppressed19,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Private,,
826,Suppressed2,Roxbury,02120,75,75,0,0,0,0,75,75,0,Rental,Private,,
827,Suppressed20,Dorchester,02125,6,6,0,0,0,0,6,6,0,Rental,Private,,
828,Suppressed21,South End,02118,3,3,0,0,0,0,3,3,0,Rental,Private,,
829,Suppressed22,Roxbury,02119,23,23,0,0,0,0,23,23,0,Rental,Private,,
830,Suppressed23,Dorchester,02124,4,4,0,0,0,0,4,4,0,Rental,Private,,
831,Suppressed24,Dorchester,02124,5,5,0,0,0,0,5,5,0,Rental,Private,,
832,Suppressed25,Dorchester,02124,11,11,0,1,1,0,10,10,0,Rental,Private,,
833,Suppressed26,Downtown,02116,56,56,0,0,0,0,56,56,0,Rental,Private,,
834,Suppressed27,Brighton,02135,102,102,0,33,33,0,69,69,0,Rental,Private,Y,
835,Suppressed28,Jamaica Plain,02130,6,6,0,0,0,0,6,6,0,Rental,Private,,
836,Suppressed29,Mattapan,02126,8,8,0,0,0,0,8,8,0,Rental,Private,,
837,Suppressed3,Allston,02134,12,12,0,0,0,0,12,12,0,Rental,Private,,
838,Suppressed30,Roxbury,02125,13,13,0,0,0,0,13,13,0,Rental,Private,,
839,Suppressed31,Beacon Hill,02114,120,120,0,0,0,0,120,120,0,Rental,Private,,
840,Suppressed32,Roxbury,02119,19,19,0,0,0,0,19,19,0,Rental,Private,,
841,Suppressed33,Beacon Hill,02114,21,21,0,1,1,0,20,20,0,Rental,Private,,Y
842,Suppressed34,Mattapan,02126,48,48,0,0,0,0,46,46,0,Rental,Public,Y,
843,Suppressed35,Roxbury,02119,131,131,0,0,0,0,131,131,0,Rental,Private,,Y
844,Suppressed36,Fenway,02115,48,48,0,0,0,0,48,48,0,Rental,Private,,Y
845,Suppressed4,Dorchester,02125,9,9,0,1,1,0,8,8,0,Rental,Private,,Y
846,Suppressed5,Dorchester,02125,12,12,0,0,0,0,12,12,0,Rental,Private,,
847,Suppressed6,West Roxbury,02132,4,4,0,0,0,0,4,4,0,Rental,Private,,
848,Suppressed7,Charlestown,02129,25,25,0,0,0,0,25,25,0,Rental,Private,,
849,Suppressed8,Fenway,02115,14,14,0,1,1,0,13,13,0,Rental,Private,,
850,Suppressed9,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
851,Symphony Court at Burbank Street,Fenway,02115,34,0,34,32,0,32,2,0,2,Ownership,Private,,
852,Symphony Plaza East,Back Bay,02115,188,188,0,0,0,0,188,188,0,Rental,Private,Y,Y
853,Symphony Plaza West,Fenway,02115,216,216,0,0,0,0,216,216,0,Rental,Private,Y,Y
854,TAB I,Dorchester,02125,71,71,0,0,0,0,71,71,0,Rental,Private,Y,Y
855,TAB II,Jamaica Plain,02119,68,68,0,1,1,0,67,67,0,Rental,Private,,Y
856,TAB II?,Dorchester,02125,98,98,0,0,0,0,98,98,0,Rental,Private,,
857,Tai Tung Village,Chinatown,02111,215,215,0,1,1,0,214,214,0,Rental,Private,,Y
858,Taino Tower,South End,02118,27,0,27,12,0,12,15,0,15,Ownership,Private,,
859,Talbot Commons Phase 1,Dorchester,02124,40,40,0,21,21,0,19,19,0,Rental,Private,,
860,Talbot/Bernard (Elderly) 202,Dorchester,02124,31,31,0,1,1,0,30,30,0,Rental,Private,Y,Y
861,Talbot/Bernard (Rental),Dorchester,02124,44,44,0,0,0,0,44,44,0,Rental,Private,,
862,Tate (VUP),Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
863,Taurus Apts,Roxbury,02121,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
864,Taurus at Fountain Hill,Roxbury,02119,73,73,0,0,0,0,73,73,0,Rental,Private,,Y
865,TDC III,South End,02118,61,61,0,46,46,0,15,15,0,Rental,Private,,
866,Tebroc Levant (HOME AGAIN),Dorchester,02124,5,1,4,0,0,0,5,1,4,Ownership/Rental,Private,,
867,Telford 180 (Formerly Charlesview Telford),Brighton,02135,85,0,85,79,0,79,6,0,6,Ownership,Private,,
868,Ten Most Wanted - 1,Dorchester,02121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
869,Ten Most Wanted - 10,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
870,Ten Most Wanted - 11,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
871,Ten Most Wanted - 12,Roxbury,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
872,Ten Most Wanted - 13,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
873,Ten Most Wanted - 14,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
874,Ten Most Wanted - 15,Roxbury,02125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
875,Ten Most Wanted - 2,Mattapan,02126,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
876,Ten Most Wanted - 3,Roxbury,02119,4,2,2,0,0,0,4,2,2,Ownership/Rental,Private,,
877,Ten Most Wanted - 4,Dorchester,02122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
878,Ten Most Wanted - 5,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
879,Ten Most Wanted - 6,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
880,Ten Most Wanted - 7,Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
881,Ten Most Wanted - 8,Dorchester,02121,3,2,1,2,2,0,1,0,1,Ownership,Private,,
882,Ten Most Wanted - 9,Dorchester,02121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
883,Tent City,South End,02116,270,270,0,0,0,0,270,270,0,Rental,Private,,
884,Terrace St Artists,Jamaica Plain,02120,14,0,14,0,0,0,14,0,14,Ownership - Artists,Private,,
885,Terrace St Artists,Jamaica Plain,02120,14,0,14,0,0,0,14,0,14,Ownership - Artists,Private,,
886,Thane St Apts,Dorchester,02124,6,6,0,0,0,0,6,6,0,Rental,Private,,Y
887,The 1850 Condominium,South End,02118,87,0,87,76,0,76,11,0,11,Ownership,Private,,
888,The Aberdeen,Brighton,02125,40,0,40,35,0,35,5,0,5,Ownership,Private,,
889,The Anchorage,Charlestown,02129,112,112,0,89,89,0,23,23,0,Rental,Private,Y,
890,The Andi (South Bay Town Center Building C),Dorchester,02125,215,215,0,187,187,0,28,28,0,Rental,Private,,
891,The Beverly,West End,02114,239,239,0,0,0,0,239,239,0,Rental,Private,,
892,The Boulevard,Downtown,02110,36,0,36,31,0,31,5,0,5,Ownership,Private,,
893,The Brownstones,South End,02116,35,35,0,28,28,0,7,7,0,Rental,Private,,
894,The Bryant,South End,02116,50,0,50,48,0,48,2,0,2,Ownership,Private,,
895,The Bulfinch,Mission Hill,02120,5,5,0,0,0,0,5,5,0,Ownership,Private,,
896,The Carillon,Fenway,02115,31,30,1,30,30,0,1,0,1,Ownership/Rental,Private,,
897,The Chester,South End,02118,17,17,0,7,7,0,10,10,0,Rental,Private,,Y
898,The Clarendon,Back Bay,02116,285,178,107,248,142,106,37,36,1,Ownership/Rental,Private,,
899,The Clarion,Roxbury,02121,39,39,0,7,7,0,32,32,0,Rental,Private,,
900,The Commons at Forest Hills,Jamaica Plain,02130,283,283,0,243,243,0,40,40,0,Rental,Private,,
901,The Dorchester,Mattapan,02126,47,47,0,0,0,0,47,47,0,Rental,Private,?,Y
902,The Edge,Allston,02134,79,79,0,69,69,0,10,10,0,Rental,Private,,
903,The Graphic,Charlestown,02129,171,171,0,148,148,0,23,23,0,Rental,Private,,
904,The Harmon Apartments (Boston Home Group),Dorchester,02124,36,0,36,6,0,6,30,30,0,Rental,Private,,
905,The Harvey,Charlestown,02129,177,177,0,154,154,0,23,23,0,Rental,Private,,
906,The Homes at Roxbury Crossing,Mission Hill,02120,22,0,22,0,0,0,22,0,22,Ownership,Private,,
907,The Lancaster,Brighton,02134,55,0,55,37,0,37,18,0,18,Ownership,Private,,
908,The Macallen,South Boston,02127,144,0,144,124,0,124,20,0,20,Ownership,Private,,
909,The Mark at DeNormanie Wharf,East Boston,02128,107,0,107,101,0,101,6,0,6,Ownership,Private,,
910,The Melnea (Parcel 9/Residential),Roxbury,02119,50,50,0,43,43,0,7,7,0,Rental,Private,,
911,The Metropolitan,Chinatown,02111,251,133,118,136,52,84,115,81,34,Ownership/Rental,Private,,Y
912,The Modern,Roxbury,02118,62,0,62,53,0,53,9,0,9,Ownership,Private,,
913,The Mt Vernon,Allston,02134,7,7,0,5,5,0,2,2,0,Rental,Private,,
914,The Nautica,Charlestown,02129,117,0,117,105,0,105,12,0,12,Ownership,Private,,
915,The Pierce,Fenway,02215,349,240,109,307,68,239,42,41,1,Ownership/Rental,Private,,
916,The Radian,Chinatown,02111,240,240,0,235,235,0,5,5,0,Rental,Private,,
917,The Residences At Forest Hills,Jamaica Plain,02130,250,250,0,200,200,0,50,50,0,Rental,Private,,
918,The Residences at St. Augustine,South Boston,02127,29,0,29,25,0,25,4,0,4,Ownership,Private,,
919,The Residences at West Broadway,South Boston,02127,139,139,0,122,122,0,17,17,0,Rental,Private,,
920,The Residences on E,South Boston,02127,34,0,34,30,0,30,4,0,4,Ownership,Private,,
921,The Seville Boston Harbor,East Boston,02128,66,0,66,58,0,58,8,0,8,Ownership,Private,,
922,The Stearns,Downtown,02111,140,140,0,1,1,0,139,139,0,Rental,Private,Y,Y
923,The Sudbury [Govt Center Garage Rental],Downtown,02114,368,368,0,305,305,0,63,63,0,Rental,Private,,
924,The Tremont,Mission Hill,02120,66,66,0,65,65,0,1,1,0,Rental,Private,,
925,Theroch,Roxbury,02121,222,222,0,31,31,0,191,191,0,Rental,Private,,Y
926,Thetford-Dyer Neighborhood Homes,Dorchester,02124,16,7,9,6,6,0,10,4,6,Ownership/Rental,Private,,
927,Torre Unidad (2-49),South End,02118,201,201,0,0,0,0,201,201,0,Rental,Public,Y,
928,Townhouses at Glenwood,Hyde Park,02136,19,0,19,17,0,17,2,0,2,Rental,Private,?,
929,Townhouses at Neponset River,Hyde Park,02136,16,0,16,14,0,14,2,0,2,Ownership,Private,,
930,Treadmark,Dorchester,02124,83,51,32,28,0,28,55,51,4,Ownership/Rental,Private,,
931,Tremont Houses,Roxbury,02118,23,23,0,0,0,0,23,23,0,Rental,Private,,
932,Trilogy Residential,Fenway,02215,534,534,0,475,475,0,59,59,0,Rental,Private,,
933,Trinity Neighborhood House,East Boston,02128,16,16,0,0,0,0,16,16,0,Rental,Private,?,
934,Trinity Terrace,Dorchester,02121,62,62,0,0,0,0,62,62,0,Rental,Private,,
935,Trolley House Condos,South Boston,02127,25,0,25,23,0,23,2,0,2,Ownership,Private,,
936,Troy Boston,South End,02118,378,378,0,340,340,0,38,38,0,Rental,Private,,
937,Trull/Ware Homes,Dorchester,02125,4,1,3,0,0,0,4,1,3,Ownership/Rental,Private,,
938,Twenty at Luma,Roxbury,02119,20,0,20,0,0,0,20,0,20,Ownership,Private,,
939,UE Apartments,Jamaica Plain,02130,82,82,0,0,0,0,82,82,0,Rental,Private,Y,
940,UE Dixwell Park,Jamaica Plain,02119,33,33,0,0,0,0,33,33,0,Rental,Private,,
941,Uhomes,Brighton,02134,20,0,20,8,0,8,12,0,12,Ownership,Private,,
942,Ulin House,Brighton,02135,242,242,0,0,0,0,242,242,0,Rental,Private,Y,Y
943,Uphams Corner Market Residential and Elderhouse,Dorchester,02125,45,45,0,1,1,0,44,44,0,Rental,Private,Y,
944,Uphams Corner/Red Hazel Apts,Dorchester,02125,36,36,0,0,0,0,36,36,0,Rental,Private,,Y
945,Uphams West,Roxbury,02125,13,13,0,0,0,0,13,13,0,Rental,Private,,
946,Upton Street Lodging House,South End,02136,19,19,0,1,1,0,18,18,0,Rental,Private,,
947,Upton Street Lodging House Units,South End,02118,19,19,0,1,1,0,18,18,0,Rental,Private,,
948,Urbanica 691,Roxbury,02118,40,0,40,38,0,38,2,0,2,Ownership,Private,,
949,Urbanica Highland Park (E+),Roxbury,02119,4,0,4,3,0,3,1,0,1,Ownership,Private,,
950,Uva Douglas Estates,Roxbury,02121,15,15,0,0,0,0,15,15,0,Rental,Private,,
951,Valenchuck (VUP),Dorchester,02122,2,2,0,0,0,0,2,2,0,Rental,Private,,
952,Van Ness Terrace,Roxbury,02119,50,50,0,0,0,0,50,50,0,Rental,Private,,
953,Vertullo Building (AOP),Hyde Park,02136,3,3,0,0,0,0,3,3,0,Rental,Private,,
954,Vet Step Up,Roxbury,02121,10,10,0,0,0,0,10,10,0,Rental,Private,,
955,Veterans Studios at Brighton Marine,Brighton,02135,25,25,0,0,0,0,25,25,0,Rental,Private,,
956,VFW Parkway Condos,West Roxbury,02132,15,0,15,14,0,14,1,0,1,Ownership,Private,,
957,Victoria Apartments,South End,02118,190,190,0,0,0,0,190,190,0,Rental,Private,,Y
958,Victory Gardens Plaza,East Boston,02128,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y
959,Victory House,South End,02118,6,6,0,0,0,0,6,6,0,Rental,Private,,
960,Viet-AID,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Private,,
961,Villa Michelangelo,North End,02113,71,71,0,0,0,0,71,71,0,Rental,Private,Y,
962,Village At Cleary Square,Hyde Park,02136,59,0,59,53,0,53,6,0,6,Ownership,Private,,
963,Vines (VUP) CDFI,Dorchester,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
964,Violet|Evelyn NHI (523 Norfolk),Mattapan,02126,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
965,Viridian,Fenway,02215,350,350,0,312,312,0,38,38,0,Rental,Private,,
966,VITA,Jamaica Plain,02130,126,0,126,107,0,107,19,0,19,Ownership,Private,,
967,Viviendas Associates I,South End,02118,181,181,0,0,0,0,181,181,0,Rental,Private,,Y
968,Viviendas La Victoria II,South End,02118,190,190,0,0,0,0,190,190,0,Rental,Private,,
969,Wait Street,Mission Hill,02115,100,100,0,0,0,0,100,100,0,Rental,Private,Y,Y
970,Walker Park Apartments,Roxbury,02130,49,49,0,0,0,0,49,49,0,Rental,Private,,
971,Wallingford Housing,Brighton,02135,209,209,0,0,0,0,209,209,0,Rental,Private,Y,Y
972,Walnut Avenue Apartments (SPO),Jamaica Plain,02130,31,31,0,0,0,0,31,31,0,Rental,Private,,
973,Walnut Community Housing,Roxbury,02119,37,37,0,3,3,0,34,34,0,Rental,Private,Y,
974,Walnut House/Rogerson,Jamaica Plain,02119,37,37,0,0,0,0,37,37,0,Rental,Private,Y,
975,Walter Baker Lofts,Mattapan,02124,13,13,0,0,0,0,13,13,0,Rental,Private,,
976,Walter J. Martin Coop,South Boston,02127,34,34,0,0,0,0,34,34,0,Cooperative,Private,,
977,Wardman Apts,Roxbury,02119,88,88,0,0,0,0,88,88,0,Rental,Private,,Y
978,Wareham Lofts,South End,02118,28,0,28,25,0,25,3,0,3,Ownership,Private,,
979,Warren Avenue Apts,South End,02116,30,30,0,1,1,0,29,29,0,Rental,Private,,Y
980,Warren Gardens Coop,Roxbury,02119,228,228,0,0,0,0,228,228,0,Cooperative,Private,,Y
981,Warren Green Leasehold Condominiums,Charlestown,02129,17,0,17,15,0,15,2,0,2,Ownership,Private,,
982,Warren St Nursing Home,Roxbury,02121,9,9,0,0,0,0,9,9,0,Rental,Private,,
983,Washington Grove,West Roxbury,02132,24,0,24,21,0,21,3,0,3,Ownership/Rental,Private,,
984,"Washington Heights I, II",Roxbury,02119,175,175,0,0,0,0,175,175,0,Rental,Private,,Y
985,Washington Manor (2-44C),South End,02118,77,77,0,0,0,0,77,77,0,Rental,Public,Y,
986,Washington Mews,Dorchester,02124,20,20,0,0,0,0,20,20,0,Rental,Private,,
987,Washington Street (2-35),Brighton,02135,82,82,0,0,0,0,82,82,0,Rental,Public,Y,
988,Washington-Beech (2-13),Roslindale,02131,206,206,0,0,0,0,206,206,0,Rental,Public/Private,,Y
989,Waterford Place,South End,02118,40,40,0,14,14,0,26,26,0,Rental,Private,,
990,Watermark Seaport Apartments,South Boston Waterfront,02210,346,346,0,301,301,0,45,45,0,Rental,Private,,
991,Waterside Place,South Boston Waterfront,02210,236,236,0,231,231,0,5,5,0,Rental,Private,,
992,Waterstone at the Circle,Brighton,02135,92,92,0,80,80,0,12,12,0,Rental,Private,?,
993,Waterview Apartments,South Boston,02127,49,49,0,0,0,0,49,49,0,Rental,Private,Y,Y
994,Watson (VUP),Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Private,,
995,Waverly Abby - Bridge Over Troubled Waters,Brighton,02134,28,28,0,0,0,0,28,28,0,Rental,Private,,
996,Waverly Homes II,Roxbury,02125,9,2,7,0,0,0,9,2,7,Ownership/Rental,Private,,
997,Wayland Street Homes,Roxbury,02125,6,0,6,0,0,0,6,0,6,Ownership,Private,,
998,Wayne Apartments,Roxbury,02121,74,74,0,0,0,0,74,74,0,Rental,Private,,Y
999,Wayne at Bicknell,Dorchester,02121,72,72,0,0,0,0,72,72,0,Rental,Private,,Y
1000,Wayne at Blue Hill,Mattapan,02126,48,48,0,0,0,0,48,48,0,Rental,Private,,Y
1001,Wayne at Columbia,Dorchester,02121,83,83,0,0,0,0,83,83,0,Rental,Private,,Y
1002,Wayne at Franklin,Dorchester,02124,72,72,0,0,0,0,72,72,0,Rental,Private,,Y
1003,Weld Park Apts,Roslindale,02131,14,14,0,0,0,0,14,14,0,Rental,Private,Y,Y
1004,Wellington Hill Phase I,Dorchester,02126,23,9,14,0,0,0,23,9,14,Ownership/Rental,Private,,
1005,Wellington Hill Phase II,Mattapan,02126,8,3,5,0,0,0,8,3,5,Ownership/Rental,Private,,
1006,Welsh (VUP),Brighton,02135,1,1,0,0,0,0,1,1,0,Rental,Private,,
1007,West Broadway/D St (200-1),South Boston,02127,484,484,0,0,0,0,484,484,0,Rental,Public,,
1008,West Cottage St Condominiums,Roxbury,02125,4,0,4,0,0,0,4,0,4,Ownership,Private,,
1009,West Fenway Elderly,South End,02118,5,5,0,0,0,0,5,5,0,Rental,Private,Y,
1010,West Newton Street (2-58),South End,02118,149,149,0,0,0,0,149,149,0,Rental,Public,,
1011,West Ninth Street (2-36),South Boston,02127,84,84,0,1,1,0,83,83,0,Rental,Public,Y,
1012,West Roxbury Residences,West Roxbury,02132,4,4,0,0,0,0,4,4,0,Rental,Private,,
1013,West Square,South Boston,02127,255,255,0,222,222,0,33,33,0,Rental,Private,,
1014,Westland Avenue Apartments,Fenway,02115,96,96,0,35,35,0,61,61,0,Rental,Private,Y,Y
1015,Westminster 21 (Urban Edge),Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
1016,Westminster Court,Roxbury,02119,70,70,0,0,0,0,70,70,0,Rental,Private,,
1017,Whittier Street Apartments (2-11),Roxbury,02120,144,144,0,16,16,0,128,128,0,Rental,Public/Private,,
1018,Whittier/Lyndhurst/Washington,Dorchester,02124,44,44,0,0,0,0,44,44,0,Rental,Private,,
1019,Wilder Gardens,Dorchester,02121,61,61,0,0,0,0,61,61,0,Rental,Private,,Y
1020,Wilkes Passage Loft Condominium,South End,02118,155,0,155,135,0,135,20,0,20,Ownership,Private,,
1021,Williams (VUP),Roxbury,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
1022,Willowwood|Hildreth NHI,Dorchester,02124,8,4,4,0,0,0,8,4,4,Ownership/Rental,Private,,
1023,Wilshire Apartments,Roxbury,02121,29,29,0,0,0,0,29,29,0,Rental,Private,,Y
1024,Winslow Court,Roxbury,02119,24,5,19,0,0,0,24,5,19,Ownership/Rental,Private,,
1025,Winston/Harwood (689-?),Dorchester,02124,10,0,10,0,0,0,10,0,10,Ownership,Public,,
1026,Wood (VUP),Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,
1027,Woodbourne Elderly Apts,Jamaica Plain,02130,76,76,0,1,1,0,75,75,0,Rental,Private,Y,Y
1028,Woodbury Cunard Building,East Boston,02128,17,17,0,0,0,0,17,17,0,Rental,Private,Y,
1029,Woodledge/Granfield,Roslindale,02131,6,6,0,0,0,0,6,6,0,Rental,Private,,
1030,Woodward Park - North - Home Again,Roxbury,02125,10,0,10,0,0,0,10,0,10,Ownership,Private,,
1031,Woodward Park II - HOME AGAIN,Roxbury,02125,11,0,11,0,0,0,11,0,11,Ownership,Private,,
1032,Worcester House,Back Bay,02116,16,16,0,0,0,0,16,16,0,Rental,Private,,
1033,Worcester Square,South End,02118,31,31,0,0,0,0,31,31,0,Rental,Private,,
1034,Wrentham St School,Mission Hill,02120,8,8,0,0,0,0,8,8,0,Rental,Private,,
1035,x  Boylston St (Boylston Place),Fenway/Kenmore,02215,451,451,0,383,383,0,68,68,0,Rental,Private,,
1036,x & 404 West Second St,South Boston,02127,17,0,17,14,0,14,3,0,3,Ownership,Private,,
1037,x & 50 Corbet (REMS Land),Dorchester,02124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1038,x & x St George Street Condominium,South End,02118,29,0,29,15,0,15,14,0,14,Ownership,Private,,
1039,x A Street,South Boston,02127,25,0,25,22,0,22,3,0,3,Ownership,Private,,
1040,x A Street Front,South Boston Waterfront,02127,48,0,48,44,0,44,4,0,4,Ownership,Private,,
1041,x Adams Street,Dorchester,02122,3,3,0,0,0,0,3,3,0,Rental,Private,,
1042,x Addison St,East Boston,02128,230,230,0,200,200,0,30,30,0,Rental,Private,,
1043,x Albany Street,South End,02118,40,0,40,35,0,35,5,0,5,Ownership,Private,,
1044,x Algonquin St,Dorchester,02124,9,9,0,1,1,0,8,8,0,Rental,Private,,
1045,x Alpine Street,Roxbury,02119,3,3,0,0,0,0,3,3,0,Rental,Private,,
1046,x Alvah Kittredge Park,Roxbury,02119,4,2,2,3,1,2,1,1,0,Ownership/Rental,Private,,
1047,x American Legion Highway (AOP),Roslindale,02131,8,8,0,0,0,0,8,8,0,Rental,Private,,
1048,x Amory Ave,Jamaica Plain,02119,39,39,0,0,0,0,39,39,0,Rental,Private,,
1049,x Amory St,Jamaica Plain,02119,12,12,0,10,10,0,2,2,0,Rental,Private,,
1050,x and 120-122 Mt. Pleasant Avenue,Roxbury,02119,9,9,0,0,0,0,9,9,0,Rental,Private,,
1051,x and 380 Harrison Ave,South End,02118,273,172,101,218,120,98,55,52,3,Ownership/Rental,Private,,
1052,x Arbutus (YouthBuild),Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
1053,x Arbutus Street,Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,
1054,x Arlington St (AOP),Hyde Park,02136,4,4,0,0,0,0,4,4,0,Rental,Private,,
1055,x Ashland St,Dorchester,02122,6,6,0,0,0,0,6,6,0,Rental,Public,,
1056,x Astoria Street (Beharry VUP),Mattapan,02126,2,2,0,0,0,0,2,2,0,Rental,Private,,
1057,x Athens St,South Boston,02127,15,0,15,13,0,13,2,0,2,Ownership,Private,,
1058,x B Street,South Boston,02127,3,0,3,2,0,2,1,0,1,Ownership,Private,,
1059,x Banton St,Dorchester,02124,18,0,18,16,16,0,2,2,0,Rental,Private,,
1060,x Batchelder St,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Public,,
1061,x Beach St. Loft Condominium,Leather District,02111,44,0,44,41,0,41,3,0,3,Ownership,Private,,
1062,x Belgrade Ave,Roslindale,02131,21,21,0,18,18,0,3,3,0,Rental,Private,,
1063,x Bellevue Street,Dorchester,02125,3,3,0,0,0,0,3,3,0,Rental,Private,,
1064,x Bennington St,East Boston,02128,42,42,0,37,37,0,5,5,0,Rental,Private,,
1065,x Bennington St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
1066,x Bennington St. EBO 02128-COB,East Boston,02128,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1067,x Birch Rd (RDP),West Roxbury,02122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
1068,x Blackinton St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
1069,x Blue Hill Ave,Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
1070,x Blue Hill Ave (REMS buildings),Roxbury,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,
1071,x Boardman,East Boston,02128,19,19,0,17,0,17,2,0,2,Ownership,Private,,
1072,x Boardman St,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Public,,
1073,x Border Street,East Boston,02128,18,0,18,16,0,16,2,0,2,Ownership,Private,,
1074,x Bowdoin Ave (AOP),Dorchester,02121,31,31,0,0,0,0,31,31,0,Rental,Private,,
1075,x Bowdoin St,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Public,,
1076,x Bowdoin St (RDP),Dorchester,02121,1,0,1,0,0,0,1,0,1,Ownership,Private,,
1077,x Boylston,Fenway,02215,199,199,0,189,189,0,10,10,0,Rental,Private,,
1078,x Boylston Rehab Phase,Downtown,02116,46,46,0,0,0,0,46,46,0,Rental,Private,,
1079,x Boylston St,Downtown,02116,18,18,0,16,16,0,2,2,0,Rental,Private,,
1080,x Braintree Street,Allston,02134,80,80,0,69,69,0,11,11,0,Rental,Private,,
1081,x Breed St (AOP),East Boston,02128,2,2,0,0,0,0,2,2,0,Rental,Private,,
1082,x Bremen St,East Boston,02128,32,32,0,27,27,0,5,5,0,Rental,Private,,
1083,x Bremen St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
1084,x Brighton Ave,Allston/Brighton,02134,129,129,0,112,112,0,17,17,0,Rental,Private,,
1085,x Broad Street,Downtown,02110,96,0,96,93,0,93,3,0,3,Ownership,Private,,
1086,x Brooks St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
1087,x Burbank Street,Fenway,02115,36,36,0,5,5,0,31,31,0,Rental,Private,,
1088,x Burney St,Jamaica Plain,02120,24,24,0,21,21,0,3,3,0,Rental,Private,,
1089,x Burt St/VOA Sober House,Dorchester,02124,16,16,0,0,0,0,16,16,0,Rental,Private,,
1090,x Bushnell St,Dorchester,02124,1,0,1,0,0,0,1,0,1,Ownership,Private,,
1091,x Cambridge,Allston,02134,44,0,44,38,0,38,6,0,6,Ownership,Private,,
1092,x Cambridge St,Allston,02134,32,0,32,28,0,28,4,0,4,Ownership,Private,,
1093,x Cambridge Street,Allston,02134,40,40,0,35,35,0,5,5,0,Rental,Private,,
1094,x Cameron Street,Dorchester,02125,3,3,0,0,0,0,3,3,0,Rental,Private,,
1095,x Carlford Rd,Jamaica Plain,02130,2,2,0,0,0,0,2,2,0,Rental,Public,,
